日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,58,,58
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,132,61,71
2020-01-22,182,59,123
2020-01-23,234,61,173
2020-01-24,193,68,125
2020-01-25,242,76,166
2020-01-26,205,64,141
2020-01-27,207,68,139
2020-01-28,191,66,125
2020-01-29,106,,106
2020-01-30,202,57,145
2020-01-31,176,57,119
2020-02-01,176,66,110
2020-02-02,161,59,102
2020-02-03,143,59,84
2020-02-04,149,63,86
2020-02-05,157,66,91
2020-02-06,159,57,102
2020-02-07,153,61,92
2020-02-08,165,61,104
2020-02-09,147,61,86
2020-02-10,141,63,78
2020-02-11,73,,73
2020-02-12,135,59,76
2020-02-13,130,59,71
2020-02-14,145,63,82
2020-02-15,134,64,70
2020-02-16,147,61,86
2020-02-17,84,,84
2020-02-18,133,57,76
2020-02-19,139,61,78
2020-02-20,144,61,83
2020-02-21,129,59,70
2020-02-22,130,57,73
2020-02-23,135,61,74
2020-02-24,122,59,63
2020-02-25,80,,80
2020-02-26,131,57,74
2020-02-27,70,,70
2020-02-28,128,57,71
2020-02-29,139,57,82
2020-03-01,122,57,65
2020-03-02,129,63,66
2020-03-03,82,,82
2020-03-04,61,,61
2020-03-05,57,57,
2020-03-06,128,59,69
2020-03-07,65,,65
2020-03-08,117,57,60
2020-03-09,131,57,74
2020-03-10,131,61,70
2020-03-11,125,59,66
2020-03-12,120,57,63
2020-03-13,128,57,71
2020-03-14,63,,63
2020-03-15,63,,63
2020-03-16,71,,71
2020-03-17,61,,61
2020-03-18,120,57,63
2020-03-19,61,,61
2020-03-20,65,,65
2020-03-21,65,,65
2020-03-22,61,,61
2020-03-23,65,,65
2020-03-24,60,,60
2020-03-25,63,,63
2020-03-26,,,
2020-03-27,118,57,61
2020-03-28,122,57,65
2020-03-29,118,61,57
2020-03-30,114,57,57
2020-03-31,57,,57
2020-04-01,115,57,58
