日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,58,,58
2019-12-05,57,57,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,58,,58
2019-12-10,57,,57
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,60,,60
2019-12-24,,,
2019-12-25,114,57,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,57,,57
2020-01-21,209,57,152
2020-01-22,395,80,315
2020-01-23,439,80,359
2020-01-24,263,76,187
2020-01-25,394,87,307
2020-01-26,414,72,342
2020-01-27,372,76,296
2020-01-28,309,80,229
2020-01-29,274,70,204
2020-01-30,298,70,228
2020-01-31,304,70,234
2020-02-01,268,70,198
2020-02-02,302,78,224
2020-02-03,291,74,217
2020-02-04,265,80,185
2020-02-05,261,68,193
2020-02-06,268,87,181
2020-02-07,259,66,193
2020-02-08,246,70,176
2020-02-09,231,70,161
2020-02-10,237,70,167
2020-02-11,244,78,166
2020-02-12,230,68,162
2020-02-13,227,76,151
2020-02-14,223,68,155
2020-02-15,209,68,141
2020-02-16,197,59,138
2020-02-17,225,74,151
2020-02-18,209,74,135
2020-02-19,193,59,134
2020-02-20,189,57,132
2020-02-21,221,70,151
2020-02-22,131,,131
2020-02-23,205,61,144
2020-02-24,184,61,123
2020-02-25,207,63,144
2020-02-26,196,70,126
2020-02-27,183,64,119
2020-02-28,190,64,126
2020-02-29,165,59,106
2020-03-01,186,61,125
2020-03-02,171,59,112
2020-03-03,178,57,121
2020-03-04,167,63,104
2020-03-05,166,66,100
2020-03-06,156,61,95
2020-03-07,174,61,113
2020-03-08,170,66,104
2020-03-09,175,63,112
2020-03-10,182,61,121
2020-03-11,176,64,112
2020-03-12,153,70,83
2020-03-13,172,72,100
2020-03-14,165,57,108
2020-03-15,149,57,92
2020-03-16,149,63,86
2020-03-17,168,59,109
2020-03-18,147,61,86
2020-03-19,139,57,82
2020-03-20,141,61,80
2020-03-21,80,,80
2020-03-22,136,57,79
2020-03-23,146,57,89
2020-03-24,149,63,86
2020-03-25,130,59,71
2020-03-26,83,,83
2020-03-27,135,59,76
2020-03-28,93,,93
2020-03-29,134,61,73
2020-03-30,159,57,102
2020-03-31,92,,92
2020-04-01,144,57,87
