日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,57,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,59,59,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,156,61,95
2020-01-22,282,70,212
2020-01-23,428,83,345
2020-01-24,262,63,199
2020-01-25,429,76,353
2020-01-26,366,74,292
2020-01-27,329,80,249
2020-01-28,267,72,195
2020-01-29,259,64,195
2020-01-30,238,61,177
2020-01-31,260,64,196
2020-02-01,232,74,158
2020-02-02,235,68,167
2020-02-03,222,70,152
2020-02-04,204,70,134
2020-02-05,208,61,147
2020-02-06,214,63,151
2020-02-07,196,70,126
2020-02-08,196,64,132
2020-02-09,174,59,115
2020-02-10,198,63,135
2020-02-11,196,68,128
2020-02-12,186,63,123
2020-02-13,185,64,121
2020-02-14,173,61,112
2020-02-15,172,57,115
2020-02-16,160,64,96
2020-02-17,166,61,105
2020-02-18,100,,100
2020-02-19,158,59,99
2020-02-20,178,61,117
2020-02-21,163,57,106
2020-02-22,150,59,91
2020-02-23,102,,102
2020-02-24,166,61,105
2020-02-25,169,63,106
2020-02-26,161,61,100
2020-02-27,176,61,115
2020-02-28,180,57,123
2020-02-29,159,57,102
2020-03-01,170,57,113
2020-03-02,170,64,106
2020-03-03,172,63,109
2020-03-04,160,61,99
2020-03-05,165,57,108
2020-03-06,157,57,100
2020-03-07,152,61,91
2020-03-08,150,61,89
2020-03-09,161,61,100
2020-03-10,167,57,110
2020-03-11,156,57,99
2020-03-12,150,57,93
2020-03-13,99,,99
2020-03-14,145,63,82
2020-03-15,153,57,96
2020-03-16,138,59,79
2020-03-17,150,61,89
2020-03-18,153,57,96
2020-03-19,150,57,93
2020-03-20,79,,79
2020-03-21,140,57,83
2020-03-22,86,,86
2020-03-23,139,57,82
2020-03-24,137,59,78
2020-03-25,73,,73
2020-03-26,123,57,66
2020-03-27,146,57,89
2020-03-28,66,,66
2020-03-29,133,57,76
2020-03-30,137,57,80
2020-03-31,66,,66
2020-04-01,134,61,73
