日期,全部,pc,移动
2011-01-01,536,418,118
2011-01-08,559,439,120
2011-01-15,511,402,109
2011-01-22,463,360,103
2011-01-29,407,306,100
2011-02-05,294,199,95
2011-02-12,382,285,97
2011-02-19,441,342,99
2011-02-26,420,332,89
2011-03-05,418,323,95
2011-03-12,434,339,95
2011-03-19,884,748,136
2011-03-26,517,419,98
2011-04-02,565,456,109
2011-04-09,457,354,103
2011-04-16,491,380,111
2011-04-23,456,351,105
2011-04-30,427,320,107
2011-05-07,435,322,113
2011-05-14,420,313,107
2011-05-21,425,314,111
2011-05-28,426,319,107
2011-06-04,394,292,102
2011-06-11,374,281,94
2011-06-18,394,304,89
2011-06-25,368,269,99
2011-07-02,354,266,88
2011-07-09,391,290,101
2011-07-16,410,298,112
2011-07-23,421,286,135
2011-07-30,446,278,168
2011-08-06,482,298,184
2011-08-13,470,284,186
2011-08-20,494,315,180
2011-08-27,456,295,161
2011-09-03,453,297,156
2011-09-10,482,313,168
2011-09-17,491,307,184
2011-09-24,555,372,183
2011-10-01,502,324,178
2011-10-08,526,331,195
2011-10-15,573,386,187
2011-10-22,617,414,203
2011-10-29,663,455,209
2011-11-05,676,461,214
2011-11-12,692,446,246
2011-11-19,735,493,242
2011-11-26,807,550,257
2011-12-03,957,679,278
2011-12-10,1419,980,439
2011-12-17,1062,706,356
2011-12-24,879,560,319
2011-12-31,750,478,272
2012-01-07,726,462,264
2012-01-14,639,404,235
2012-01-21,525,306,219
2012-01-28,453,247,205
2012-02-04,592,357,235
2012-02-11,660,415,244
2012-02-18,612,370,242
2012-02-25,665,423,242
2012-03-03,656,411,245
2012-03-10,722,487,235
2012-03-17,974,741,233
2012-03-24,927,673,253
2012-03-31,896,668,228
2012-04-07,611,395,217
2012-04-14,572,380,192
2012-04-21,563,385,178
2012-04-28,566,388,178
2012-05-05,486,308,178
2012-05-12,506,329,178
2012-05-19,501,334,167
2012-05-26,528,358,171
2012-06-02,701,544,157
2012-06-09,836,662,174
2012-06-16,798,592,206
2012-06-23,677,516,161
2012-06-30,680,524,155
2012-07-07,669,499,170
2012-07-14,634,460,174
2012-07-21,693,535,158
2012-07-28,794,632,162
2012-08-04,564,408,157
2012-08-11,455,285,170
2012-08-18,471,293,178
2012-08-25,462,295,167
2012-09-01,482,298,184
2012-09-08,470,289,181
2012-09-15,572,384,188
2012-09-22,561,377,184
2012-09-29,511,330,182
2012-10-06,479,296,183
2012-10-13,624,435,189
2012-10-20,659,442,217
2012-10-27,700,500,199
2012-11-03,712,489,222
2012-11-10,783,532,251
2012-11-17,684,459,226
2012-11-24,652,437,215
2012-12-01,673,454,220
2012-12-08,729,472,257
2012-12-15,740,459,281
2012-12-22,680,433,247
2012-12-29,623,391,232
2013-01-05,653,394,259
2013-01-12,1012,639,373
2013-01-19,2127,1425,702
2013-01-26,893,584,309
2013-02-02,1457,946,511
2013-02-09,474,270,204
2013-02-16,548,351,197
2013-02-23,710,475,235
2013-03-02,1100,746,354
2013-03-09,1219,793,425
2013-03-16,1088,737,351
2013-03-23,831,552,280
2013-03-30,831,577,253
2013-04-06,1569,959,610
2013-04-13,1436,907,529
2013-04-20,1163,751,411
2013-04-27,890,604,286
2013-05-04,797,545,252
2013-05-11,766,498,268
2013-05-18,631,411,221
2013-05-25,707,456,251
2013-06-01,718,433,284
2013-06-08,600,369,231
2013-06-15,462,287,174
2013-06-22,544,352,192
2013-06-29,471,297,174
2013-07-06,478,309,169
2013-07-13,459,284,175
2013-07-20,474,286,188
2013-07-27,474,283,191
2013-08-03,458,262,196
2013-08-10,465,256,210
2013-08-17,457,260,198
2013-08-24,463,273,191
2013-08-31,478,281,197
2013-09-07,491,272,218
2013-09-14,515,291,224
2013-09-21,510,292,218
2013-09-28,627,376,251
2013-10-05,654,351,303
2013-10-12,808,476,332
2013-10-19,919,513,406
2013-10-26,1213,671,542
2013-11-02,1311,790,520
2013-11-09,1336,784,552
2013-11-16,1109,598,511
2013-11-23,1298,764,534
2013-11-30,1142,655,487
2013-12-07,3248,1965,1283
2013-12-14,2025,1212,813
2013-12-21,1679,883,796
2013-12-28,1554,823,732
2014-01-04,1013,547,466
2014-01-11,1039,556,483
2014-01-18,1011,554,456
2014-01-25,771,418,353
2014-02-01,566,258,309
2014-02-08,623,296,326
2014-02-15,789,416,373
2014-02-22,1141,623,518
2014-03-01,1960,1176,784
2014-03-08,1066,604,462
2014-03-15,926,499,427
2014-03-22,940,525,415
2014-03-29,1158,627,531
2014-04-05,884,475,409
2014-04-12,875,415,459
2014-04-19,854,428,427
2014-04-26,917,438,478
2014-05-03,915,407,509
2014-05-10,925,425,500
2014-05-17,852,394,458
2014-05-24,795,379,415
2014-05-31,787,377,410
2014-06-07,760,365,395
2014-06-14,750,399,351
2014-06-21,776,431,345
2014-06-28,642,350,292
2014-07-05,633,360,273
2014-07-12,630,325,306
2014-07-19,617,317,299
2014-07-26,636,315,322
2014-08-02,728,388,341
2014-08-09,710,337,373
2014-08-16,710,324,386
2014-08-23,738,356,381
2014-08-30,826,401,425
2014-09-06,737,356,381
2014-09-13,748,385,363
2014-09-20,783,432,350
2014-09-27,827,448,378
2014-10-04,770,355,415
2014-10-11,1601,862,739
2014-10-18,1569,794,775
2014-10-25,1827,925,901
2014-11-01,1720,848,873
2014-11-08,1473,648,825
2014-11-15,1460,638,822
2014-11-22,1580,745,834
2014-11-29,1523,692,831
2014-12-06,1608,703,904
2014-12-13,1479,598,881
2014-12-20,1424,557,867
2014-12-27,1235,477,757
2015-01-03,1223,505,717
2015-01-10,1119,512,607
2015-01-17,1137,522,615
2015-01-24,976,425,551
2015-01-31,1021,428,593
2015-02-07,953,440,513
2015-02-14,739,295,444
2015-02-21,493,190,302
2015-02-28,995,473,522
2015-03-07,1595,834,760
2015-03-14,1304,608,696
2015-03-21,1301,630,671
2015-03-28,1181,532,649
2015-04-04,1055,473,581
2015-04-11,1024,423,600
2015-04-18,1280,587,693
2015-04-25,1129,527,602
2015-05-02,973,438,535
2015-05-09,1053,484,568
2015-05-16,1149,561,589
2015-05-23,1115,564,551
2015-05-30,1002,519,483
2015-06-06,1289,733,556
2015-06-13,1362,812,550
2015-06-20,1206,758,448
2015-06-27,1231,769,462
2015-07-04,1201,765,436
2015-07-11,1452,757,695
2015-07-18,1308,674,634
2015-07-25,1096,531,565
2015-08-01,1133,648,485
2015-08-08,1254,760,494
2015-08-15,1492,867,625
2015-08-22,1423,870,553
2015-08-29,1351,870,480
2015-09-05,1306,845,461
2015-09-12,1315,836,479
2015-09-19,1313,763,550
2015-09-26,1258,765,493
2015-10-03,1176,631,544
2015-10-10,1309,661,647
2015-10-17,1564,840,724
2015-10-24,1533,760,773
2015-10-31,1607,742,865
2015-11-07,1624,734,891
2015-11-14,1687,779,909
2015-11-21,1552,703,849
2015-11-28,1671,752,919
2015-12-05,2283,1127,1156
2015-12-12,3171,1624,1547
