企业名称,注册资本,企业地址
无锡新世环境卫生服务有限公司,5000万元人民币,无锡市滨湖区雪浪街道葛埭社区南横山
江阴市周庄镇环境卫生发展有限公司,20000万元人民币,江阴市周庄镇周庄西大街118号
无锡市锡西环境卫生服务有限公司,3333万元人民币,无锡市滨湖开发区大通路522号
江阴市青阳镇环境卫生发展有限公司,10000万元人民币,江阴市青阳镇高田路旌阳花园1号
江阴市祝塘康洁环境卫生发展有限公司,5000万元人民币,江阴市祝塘镇积庆路
江阴市康达卫生用品有限公司,50万元人民币,江阴市临港街道镇澄路1587号
无锡市康洁卫生洁具有限公司,50万元人民币,无锡市锡山区东港镇新巷村庙桥东
无锡诺普信环境卫生服务有限公司,500万元人民币,无锡市梁溪区任钱路南(陈巷10号东)第2幢203室
无锡市张泾文化卫生用品有限公司,52万元人民币,锡山区锡北镇石村村
无锡城建环境卫生管理有限公司,300万元人民币,无锡市新吴区旺庄春丰路130号
无锡市金洋卫生保健用品有限公司,50万元人民币,无锡市惠山区洛社镇石塘湾秦巷谢李巷
无锡特丽洁卫生防疫技术服务有限公司,500万元人民币,无锡市新吴区财富商业广场5-201
江阴市明轩环境卫生服务有限公司,1280万元人民币,江阴市周庄镇长寿村长寿路68号
江阴市名村贝比卫生用品科技有限公司,2000万元人民币,江阴市华士镇华西新市村澄鹿路世界公园内
无锡立盛卫生科技有限公司,50万元人民币,无锡市惠山区吴韵路321号惠山万达商业广场135号1315
无锡国通卫生科技有限公司,100万元人民币,宜兴市宜城街道人民南路205号
江阴市申港环境卫生发展有限公司,3万元人民币,江阴市临港新城申港崇文南路
无锡泉晟环境卫生有限公司,608万元人民币,无锡市新吴区春丰小商品市场126号
无锡市恒新环境卫生服务有限公司,500万元人民币,无锡市惠山区阳山镇安阳山村塘岸里
江阴市华洁卫生用品有限公司,10万元人民币,江阴市月城镇月东路158号
江阴市鲁豫卫生用品有限公司,10万元人民币,江阴市锡澄路177号
无锡市思晟卫生用品有限公司,100万元人民币,无锡市新吴区坊城大道298号新世界国际纺织服装城A1704、1705
江阴市石庄环境卫生发展有限公司,3万元人民币,江阴市石庄桃花港路(垃圾压缩站旁)
江阴市顾山镇环境卫生发展有限公司,3万元人民币,江阴市顾山镇香山八村61号
江阴市璜土镇环境卫生发展有限公司,3万元人民币,江阴市璜土镇黄金北路22号东侧
江阴市南闸环境卫生发展有限公司,20万元人民币,江阴市南闸街道中新街19号
江阴夏禹环境卫生发展有限公司,100万元人民币,江阴市青山路88号
无锡市富雅德卫生用品有限公司,50万元人民币,无锡市五河新村273号
江阴市临港环境卫生管理有限公司,10万元人民币,江阴市申港街道崇文路237号
江阴市和平环境卫生服务有限公司,300万元人民币,江阴市芙蓉路206号
江阴市新桥镇环境卫生发展有限公司,3万元人民币,江阴市新桥镇新民路
江阴新港环境卫生服务有限公司,300万元人民币,江阴市临港街道西利路183号
无锡市清新环境卫生服务有限公司,600万元人民币,无锡市滨湖区锦溪路100号科教创业园9号楼807
江阴市正大卫生材料有限公司,55万元人民币,江阴市临港新城利港西安村38号
无锡市爱康卫生服务有限公司,100万元人民币,无锡市滨湖区景宜路湖滨南苑80-1号201室
无锡市绿洁环境卫生服务有限公司,800万元人民币,无锡市新吴区硕放孙安路西侧、裕安路南侧地块
江阴顺雨卫生服装有限公司,100万元人民币,江阴市滨江西路8号3号楼1322室
无锡市恒通医药卫生用品有限公司,50万元人民币,无锡市新区硕放工业园
无锡锡源环境卫生服务有限公司,500万元人民币,无锡市梁溪区棚下街142号
江阴市港城环境卫生发展有限公司,10万元人民币,江阴市公园路121号
无锡市宝利华卫生用品有限公司,10万元人民币,无锡市锡山区安镇街道查桥新世纪工业园南环西路6号
江阴兴睿环境卫生服务有限公司,50万元人民币,江阴市临港街道利南街236号
江阴市三剑客环境卫生发展有限公司,58万元人民币,江阴市临港新城石庄西横街41号
宜兴市新建环境卫生服务有限公司,250万元人民币,宜兴市新建镇新昌路
江阴市新帮手卫生用品有限公司,10万元人民币,江阴市镇澄路3553号
江苏云天路公共卫生服务管理有限公司,1000万元人民币,江阴市澄杨路407号
无锡博慧环境卫生服务有限公司,500万元人民币,无锡市梁溪区野花园80号南大楼140室
江阴盛佳卫生新材料有限公司,200万元人民币,江阴市云亭街道松文头路22号(兴业园8幢2楼)
无锡文利环境卫生服务有限公司,500万元人民币,无锡市梁溪区广瑞路1419号
无锡金捷环境卫生服务有限公司,500万元人民币,无锡市梁溪区神州二手车交易市场内C区313
无锡市路顺环境卫生服务有限公司,309万元人民币,无锡市滨湖区华庄街道双茂社区林巷
无锡市蠡湖环境卫生服务有限公司,300万元人民币,无锡市蠡湖大道168号蠡湖大厦406室
无锡市建成环境卫生服务有限公司,300万元人民币,无锡市新区鸿山街道锦鸿路309号
江阴华腾环境卫生发展有限公司,200万元人民币,江阴市祝塘镇积庆路
无锡市柯韵环境卫生服务有限公司,500万元人民币,无锡市惠山区阳山镇安阳山路
无锡泰伯环境卫生管理服务有限公司,200万元人民币,无锡市新吴区梅村张公路70号
宜兴市鑫达环境卫生服务有限公司,200万元人民币,宜兴市丁蜀镇丁山中路西侧电炉厂内
江阴市丰业环境卫生管理有限公司,300万元人民币,江阴市临港街道镇澄路788号
江溪街道社区卫生服务中心江溪社区卫生服务站,,无锡市滨湖区锡甘路江溪桥堍
无锡红星环境卫生服务有限公司,308万元人民币,无锡市梁溪区山北镇石门路鲍家桥88号
无锡荣华环境卫生管理有限公司,200万元人民币,无锡市新吴区梅村梅里古都一期吴音水岸街区29号
宜兴市绿都环境卫生服务有限公司,30万元人民币,宜兴市新街街道绿园路362号303室
无锡正德环境卫生服务有限公司,100万元人民币,无锡市滨湖区景宜路18号309室
无锡市求实卫生防疫服务有限公司,51万元人民币,无锡市北塘区小三里桥街21号
无锡佰事环境卫生管理有限公司,100万元人民币,无锡市新吴区鸿山街道后宅鸿运苑二区15号
无锡市博远环境卫生服务有限公司,50万元人民币,无锡市扬名高新技术产业园B区58号A201
宜兴市勤丰环境卫生服务有限公司,328万元人民币,宜兴市宜城街道氿滨大道723-1号
宜兴市飞阳环境卫生服务有限公司,518万元人民币,宜兴市经济开发区北环路南侧
无锡市路达环境卫生保护有限公司,50万元人民币,无锡市高浪东路999号(软件研发大厦)
宜兴市振华环境卫生服务有限公司,200万元人民币,宜兴市太华镇杨店邵西区166号
宜兴市清溪环境卫生服务有限公司,60万元人民币,宜兴市新庄街道震泽路
无锡市德宏环境卫生服务有限公司,50万元人民币,无锡市新吴区鸿山街道锡甘路42号
宜兴市兴杨环境卫生服务有限公司,358万元人民币,宜兴市杨巷镇文卫路22号
无锡市惠堰环境卫生服务有限公司,50万元人民币,无锡市惠山区堰桥街道凤翔路545号(堰桥)
无锡永盛卫生防疫技术服务有限公司,50万元人民币,无锡市清名东路298-229
无锡琦伟环境卫生服务有限公司,300万元人民币,无锡市惠山区堰桥街道金惠路874号
宜兴市美宜环境卫生服务有限公司,300万元人民币,宜兴市丁蜀镇洑东长征村窑上北
宜兴市明珠环境卫生服务有限公司,308万元人民币,宜兴市宜城街道解放东路886号2102-2室
宜兴市佳美环境卫生服务有限公司,312万元人民币,宜兴市丁蜀镇陶欣苑30号30-2号
宜兴市兴龙环境卫生管理有限公司,300万元人民币,宜兴市新街街道龙泽苑一期商住楼35幢11号
无锡真洁顺环境卫生服务有限公司,350万元人民币,无锡市梁溪区会西村吴巷2号
无锡市锡璧环境卫生服务有限公司,300万元人民币,无锡市锡山区东北塘大马巷村石新桥旁
无锡惠天源环境卫生服务有限公司,518万元人民币,无锡市江海东路17、18宁海团1、3号623/626室
无锡市军信环境卫生服务有限公司,300万元人民币,无锡市新吴区梅村锡甘路208号
宜兴市新业环境卫生管理服务有限公司,30万元人民币,宜兴市周铁镇分水村南街组
无锡意天环境卫生服务有限公司,120万元人民币,无锡市高步沿73号8371室
宜兴市兴园环境卫生服务有限公司,250万元人民币,宜兴市新街街道龙池路650、652号
宜兴市菱辉环境卫生服务有限公司,300万元人民币,宜兴市高塍镇新城路232号
宜兴市新东方环境卫生服务有限公司,318万元人民币,宜兴市宜城街道教育西路21号903室
奥欣环境卫生管理服务（无锡）有限公司,1000万元人民币,无锡市滨湖区太湖西大道1900-602
宜兴市文峰环境卫生管理服务有限公司,300万元人民币,宜兴市新街街道龙泽苑一期土干商住楼108室
无锡鸿泰卫生用品有限公司,100万元人民币,江阴市顾山镇锡张路196号
无锡乔纳森卫生用品有限公司,136.5771万元人民币,无锡市北塘区凤翔路58号-1
江阴市绮山生态资源发展有限公司,10000万元人民币,江阴市云亭街道黄台路红光桥堍
江阴市秦望山生态资源发展有限公司,10000万元人民币,江阴市月城镇月冯路16号
无锡嘉诚卫生用品有限公司,51万元人民币,锡山区安镇镇(厚桥)谢埭荡村
无锡市尼特环境卫生服务有限公司,500万元人民币,无锡市滨湖区华庄街道高运路101号
江阴市长卫生猪养殖专业合作社,200万元人民币,江阴市临港新城申港横塘村苏家店
江阴市环境卫生发展有限公司新虹清洁分公司,,江阴市中山北路56号
江阴市环境卫生发展有限公司新南清洁分公司,,江阴市中山北路56号
江阴市环境卫生发展有限公司顺达运输分公司,,江阴市中山北路56号
江阴市环境卫生发展有限公司中园清洁分公司,,江阴市环北路60号
江阴市环境卫生发展有限公司朝阳清洁分公司,,江阴市中山北路56号
无锡市惠山区玉祁街道玉东社区卫生服务站,,无锡市惠山区玉祁街道玉东村东兴路
江苏博仕达卫生防疫科技有限公司无锡分公司,,无锡市江尖大桥桥洞(炊事机械市场)
无锡市惠山区前州镇西塘社区卫生服务站,,无锡市惠山区前洲镇西塘村
无锡市百灵卫生用品厂,3万元人民币,无锡市黄巷南街村后巷56号
无锡市梓欣健康药店有限公司,64.04万元人民币,无锡市惠山区洛社镇石塘湾葑溪路53号
江苏通标职业卫生技术服务有限公司无锡分公司,,无锡市南长区扬名高新技术产业园B区85号
无锡市惠山区洛社镇铁路桥社区卫生服务站,,无锡市惠山区洛社镇铁路桥村
无锡锡惠检测技术有限公司,500万元人民币,无锡惠山经济开发区风电园风能路59号
无锡市健甲堂健康用品连锁有限公司,101万元人民币,无锡市解放东路1008号1601室
无锡中澳康卫消毒杀虫服务有限公司城西卫生防疫科技服务部,,无锡市滨湖区蠡溪路8号1层
宜兴市联氿建设有限公司,350万元人民币,宜兴市宜城街道共和小区2号楼09号店面
宜兴澔舟环境科技发展有限公司,302万元人民币,宜兴市宜城街道王府新村8幢11号店面
江苏中泰检测检验有限公司,500万元人民币,江阴市滨江西路8号3号楼413室
长春市兴荣卫生消杀灭技术服务有限公司无锡分公司,,无锡市锡山区东亭新明中路49-90号
江阴市陆桥卫生盒厂,0.6万元人民币,江阴市华士镇陆桥宜文村
创卫虫控科技（无锡）有限公司,100万元人民币,无锡市滨湖区太湖西大道1188号2栋4001-6
无锡市坊前鑫欣卫生纸品厂,40万元人民币,无锡市新区江溪街道坊前坊广路8号
新区任卫生包子店,10万元人民币,无锡市新区旺庄路36号-(2)
新吴区张生卫生用品店,3.5万元人民币,无锡市新吴区长江北路273-39
江阴市要塞摩恩卫生洁具店,2万元人民币,江阴市果园路28号（新生活国际家居广场一楼8006号）
无锡市新浪杰卫生洁具厂,10万元人民币,无锡市滨湖区太湖镇立信路2号
新区唐永涛卫生用品店,1万元人民币,无锡市新区江溪街道坊前新芳路36号-6
江苏宜安检测技术有限公司,1000万元人民币,宜兴环科园岳东路南侧
崇安区浩恩卫生洁具商行,5万元人民币,无锡市锡沪东路9号(无锡好艺家国际家居广场有限公司A8001-8005号)
江阴市北国恒泰卫生用品厂,200万元人民币,江阴市顾山镇北国老锡张路178号
致优无纺布（无锡）有限公司,11500万美元,无锡新区锡梅西路2号
南长区卡亚卫生洁具经营部,3万元人民币,无锡市永和路2号B008、B009
滨湖区尊品启悦卫生洁具商行,5万元人民币,无锡市滨湖区太湖街道五湖大道116号
新区静珠卫生用品经营部,1万元人民币,无锡市新区梅村香梅花园二期200-51号
滨湖区康甲卫生用品店,5万元人民币,无锡市滨湖区孙蒋新村31-101
江阴市澄南晟磊卫生用品店,10万元人民币,江阴市镇澄路39号
南长区伟灿卫生用品批发中心,10万元人民币,无锡市清扬新村54号B40
江阴市沙江橡塑新材料有限公司,90万元人民币,江阴市华士镇曙新村
南长区派恩宜卫生用品店,3万元人民币,无锡市人民西路1号-2-3、3号-1-2
崇安区翔恩卫生洁具商行,10万元人民币,无锡市锡沪中路348号一层A801号
新区硕放洁清卫生用品店,2万元人民币,无锡市新区硕放墙宅路庙下73号
江阴市要塞小夫人卫生用品厂,5万元人民币,江阴市澄山路388号
江阴市金三角建华卫生洁具经营部,6万元人民币,江阴市南闸街道金三角广场80、81号（D区052号）
梁溪区至臻卫生洁具经营部,5万元人民币,无锡市广益路291号1922
金佰利（无锡）设备科技有限公司,3000万美元,无锡惠山经济开发区风电园和惠路10号
江苏洁威卫生防疫有限公司,1000万元人民币,无锡市泰康新村116号、117号
崇安区佳劲卫生洁具经营部,5万元人民币,无锡市崇安区锡沪东路18号B区B195
江阴市瑞信安全技术服务有限公司,50万元人民币,江阴市芙蓉路260号5楼506室
江阴煜源管件有限公司,288万元人民币,江阴市临港街道习里沟村
崇安区魏拥军卫生洁具经营部,,无锡好艺家国际家居装饰博览有限公司C8048-C8053号
宜兴市新庄芳香卫生用品厂,1万元人民币,宜兴市新庄街道南阳社区
滨湖区良平卫生用品包装厂,8万元人民币,无锡市滨湖区雪浪街道山水东路85-4
江阴市南闸罗曼卫生洁具批发部,5万元人民币,江阴市南闸街道老锡澄路90号-28号
宜兴市宜城街道辰辰卫生用品店,5万元人民币,宜兴市宜城街道巷头菜场2幢2#
无锡市崇安区永安卫生消毒站,3万元人民币,勤俭新村25号101室
宜兴经济开发区九牧卫生洁具批发部,5万元人民币,宜兴经济开发区红星美凯龙国际家居生活广场B8079、B8123号
南长区浪之杰卫生洁具经营部,3万元人民币,无锡市永和路2号B028
南长区乐之泰亮甲卫生用品经营部,1万元人民币,无锡市前宋巷8号
南长区中学路唐永清卫生用品店,0.3万元人民币,无锡市芦庄三区45号
梁溪区扬名花园郑荣华卫生用品商行,2万元人民币,无锡市扬名花园295号车库
南长区永和路标标卫生洁具经营部,3万元人民币,无锡市永和路2号A016
南长区诺龙居卫生洁具经营部,3万元人民币,无锡市永和路2号A004
