name,money,addr
苏州润佳高分子材料有限公司,2000万元人民币,苏州市相城区阳澄湖镇岸山村石田路(金宏气体公司东侧)
苏州炜隆灿防静电包装有限公司,1200万元人民币,苏州工业园区娄葑新昌路6号
营口久源塑胶有限公司,600万元人民币,辽宁省营口仙人岛能源化工区
枣庄金嵘新型建材有限责任公司,80万元人民币,山东省枣庄市市中区税郭镇沙沟村(原村委会对面)
大丰县西团镇塑料厂,-,西团镇描花村
安徽志远塑业有限公司,1000万元人民币,阜南县经济开发区
苏州银禧科技有限公司,30380万元人民币,苏州吴中经济开发区河东工业园善丰路
鑫同吸塑（深圳）有限公司,200万港元,深圳市坪山区碧岭街道碧岭社区金碧路472-8号
晋州市鼎源塑业有限公司,100万元人民币,河北省石家庄市晋州市鼓城村西
温岭县塘下塑料制品厂,25万元人民币,温岭县塘下镇上方村
博富科技股份有限公司,14792万元人民币,昆山市张浦镇德新路2号
文安县固心化工产品有限公司,1000万元人民币,河北省廊坊市文安县兴隆宫镇小郭庄村北
福建省炎英包装科技有限公司,2000万元人民币,福建省泉州市石狮市永宁镇台商投资区永旭路696号
中广核高新核材集团（东莞）祈富新材料有限公司,375.9398万元人民币,东莞市大朗镇石厦村金沙岗三路26号A栋1楼
抚顺东冉塑料化工有限公司,245万元人民币,抚顺市东洲区城乡路2号
抚顺市惠丰石油化工经贸有限公司,50万元人民币,抚顺市顺城区裕城路16号楼3单元
汕头市达濠区隆源塑料制品厂,80万元人民币,汕头市达濠外经工业区6栋
中钢集团马鞍山矿院新材料科技有限公司,1500万元人民币,安徽省马鞍山经济技术开发区西塘路666号
温岭县高桥东门头塑胶日杂厂,5.5万元人民币,温岭县高桥乡后街14队
德清县干山云龙实业公司塑料制品厂,-,干山集镇**********
维龙（上海）新材料科技有限公司,1000万元人民币,上海市奉贤区奉浦工业区环城北路688号1幢
洛阳创恩塑业有限公司,6000万元人民币,洛阳市宜阳县香鹿山镇东韩村
重庆市观景口水利开发有限公司,71000万元人民币,重庆市巴南区鱼洞江洲路16号4层
杭州天鸿塑胶有限公司,50万元人民币,浙江省杭州市余杭区余杭街道杭徽公路68号-1
淄博晟翔塑料有限公司,518万元人民币,山东省淄博市博山区白塔镇白塔村
深圳市小狮发展塑胶制品有限公司,50万元人民币,深圳市宝安区松岗街道东方大道田洋六路9号鼎盛轩科技园B栋2楼
北京亨利塑料制品有限公司,42万美元,北京市丰台区岳各庄农工商联合公司
陕西帕科奇包装科技有限公司,500万元人民币,西安市莲湖区大兴东路27号御笔华庭小区5栋1单元808室
上海加略实业有限公司,200万元人民币,上海市松江区小昆山镇崇南公路435弄115号房B座
山东汉荣经贸有限责任公司,600万元人民币,桓台县工业路1350号院内第15幢第9户
沙河市龙星塑编有限公司,500万元人民币,沙河市南汪村东
河南中泽新材料股份有限公司,1500万元人民币,封丘县起重产业集聚区环卫设备园
株洲光明校办工厂,9万元人民币,响石岭
保定市南市区长虹机械厂,7万元人民币,南大园新村59号
衡水海宏环保设备制造有限公司,8000万元人民币,衡水市高新区大麻森乡周西营村南29号
安徽省钊铭特种网业有限公司,2000万元人民币,安徽省太和县五星镇上海路9号
江阴市海江无纺布包装材料有限公司,600万元人民币,江阴市徐霞客镇璜塘须毛路38号
山西海诺科技股份有限公司,3680万元人民币,山西省晋城市高平市马村镇陈村村
辽宁万弘高分子材料股份有限公司,800万元人民币,辽宁省营口市鲅鱼圈区路安工业园21通利高分子厂房
振华国盛能源有限公司,280000万元人民币,山东省滨州北海经济开发区科技孵化器园区办公楼
杰纳斯（北京）科技有限公司,2000万元人民币,北京市海淀区羊坊店博望园裙房一层211号
洛阳市昌明商贸有限公司,500万元人民币,洛阳市吉利区河阳路东段北侧供销社五楼
杭州国塑高分子材料科技有限公司,500万元人民币,浙江省杭州市建德市梅城镇城南工业功能区
杭州红凌服饰有限公司,100万元人民币,浙江省杭州市上城区建国南路288号第十三层1308室(托管585)
濮阳市三甲化工有限公司,200万元人民币,河南省濮阳市濮阳县户部寨镇大张村南800米
安庆中久包装有限公司,200万元人民币,安徽省安庆市迎江区龙狮桥乡皖江大道77号
周口市朋源防水材料有限公司,600万元人民币,河南省周口市市辖区河南省周口市中原路与黄河路交叉口向东100米路南
福融辉实业（江苏）有限公司,25093.452238万元人民币,江苏省南通经济技术开发区常兴东路18号
苏州诗络迅科技有限公司,200万元人民币,苏州市吴中区木渎镇珠江南路378号天隆大楼5715室
永清县城内昊华塑料经销处,-,永清县城内金雀大街南侧
瑞安市利士塑料制品贸易公司,52万元人民币,玉海街道办事处沿江东路72号
浙江宝利纳材料科技有限公司,1300万元人民币,湖州市八里店镇吴兴科技创业园29号楼1-2层
成都市双流新兴化工厂,16.7万元人民币,成都市双流县正兴乡七0一八工厂内
山东东辰瑞森新材料科技有限公司,2000万元人民币,山东省济南市章丘区圣井街道西姚村
平阳县塑料五厂,86.2万元人民币,肖江镇桑田路
齐齐哈尔双诚化工有限公司,1000万元人民币,黑龙江省齐齐哈尔市昂昂溪区化工委
盘锦冠达物资有限公司,50万元人民币,盘锦市双台子区辽化二区10号楼202室
天津市九九成塑料有限公司,100万元人民币,天津市滨海新区大港太平镇大道口村
烟台市清泉塑料制品有限公司,1258万元人民币,烟台高新区凯莱路西
苏州度辰新材料有限公司,3600万元人民币,苏州工业园区唯亭镇夷陵山街36号
平阳县自动编织二厂,86万元人民币,肖江镇沧海路
淄博星河经贸有限公司,200万元人民币,山东省淄博市临淄区化工城齐锐商务港428室
杭州新丰塑料厂,1800万元人民币,上城区清江路136号
宝兴县金鹏钙塑厂,-,宝兴县中坝乡
河北凯塑塑胶科技有限公司,6800万元人民币,河北省邢台市威县经济开发区腾飞路东侧
山东路德新材料股份有限公司,20000万元人民币,山东省泰安高新区渠西路以东、一天门大街以南
丹徒县西麓永和电气厂,6万元人民币,丹徒县西麓集镇
鸡泽县亨茂管业有限公司,100万元人民币,河北省邯郸市鸡泽县王庄村东500米
慈溪清泉电器有限公司,10万元人民币,慈溪市横河镇孙家境村
上海守礼化工有限公司,300万元人民币,青浦区公园路348号5层C区507室
尚志市远兴塑料废品再生制品厂,-,尚志市尚志镇301国道334公里处
上海创治环境科技有限公司,1399.8万元人民币,上海市静安区万航渡路888号13层J室
鑫来塑业（滨州）有限公司,500万元人民币,滨州市无棣县信阳镇姬家花园村69号
石家庄市丰钰塑料制品有限公司石家庄分公司,-,石家庄市栾城区南五里铺村向阳路67号
金湖县塑料化纤厂,16.5万元人民币,金湖县金沟镇
淮安市荣腾塑业有限公司,1000万元人民币,淮阴区西宋集镇宋集街东首
泰安万邦纤维有限公司,100万元人民币,泰安市仰圣街南头东侧原军分区教导队院内北楼
桂林制药厂药用包装材料分厂,15.1万元人民币,桂林市上海路17号
南通红石科技发展有限公司,500万元人民币,南通市通州区张芝山镇工业园区
黑龙江林港塑胶实业公司,1718万元人民币,黑龙江省大庆市林甸县林甸镇西北街
甘肃华腾新材料股份有限公司,7000万元人民币,甘肃省兰州市兰州新区泰山路8152号
宿迁丰顺新材料有限公司,50万元人民币,宿迁北斗电子信息产业园研发楼3楼
上海霞飞织带有限公司,500万元人民币,上海市宝山区长江南路728号
徐州塑料四厂,340万元人民币,段庄二轻路
乐天化学（嘉兴）有限公司,8214万美元,浙江省嘉兴港区平海路301号
平阳县大华塑化贸易有限公司,500万元人民币,平阳县肖江镇直浃河村
平阳县永乐塑料厂,70万元人民币,肖江镇河滨路
盘锦宇莲商贸有限公司,1050万元人民币,大洼县田家镇高家村(汇美建材市场)
