日期,全部,pc,移动
2019-12-01,1047,137,910
2019-12-02,1158,254,904
2019-12-03,1163,276,887
2019-12-04,1160,265,895
2019-12-05,1139,243,896
2019-12-06,1135,279,856
2019-12-07,1085,188,897
2019-12-08,1108,169,939
2019-12-09,1245,299,946
2019-12-10,1209,291,918
2019-12-11,1213,324,889
2019-12-12,1078,202,876
2019-12-13,977,129,848
2019-12-14,1029,157,872
2019-12-15,1002,121,881
2019-12-16,1157,271,886
2019-12-17,1124,248,876
2019-12-18,1086,216,870
2019-12-19,1076,193,883
2019-12-20,1060,208,852
2019-12-21,1029,163,866
2019-12-22,1046,159,887
2019-12-23,1152,273,879
2019-12-24,1118,237,881
2019-12-25,1088,223,865
2019-12-26,1055,190,865
2019-12-27,995,194,801
2019-12-28,983,123,860
2019-12-29,997,131,866
2019-12-30,1091,223,868
2019-12-31,1479,475,1004
2020-01-01,1008,112,896
2020-01-02,1133,253,880
2020-01-03,1092,247,845
2020-01-04,1026,162,864
2020-01-05,1003,140,863
2020-01-06,1110,251,859
2020-01-07,1069,218,851
2020-01-08,1124,282,842
2020-01-09,1127,274,853
2020-01-10,1015,233,782
2020-01-11,934,127,807
2020-01-12,881,95,786
2020-01-13,1008,215,793
2020-01-14,997,215,782
2020-01-15,895,225,670
2020-01-16,631,225,406
2020-01-17,1012,239,773
2020-01-18,1033,170,863
2020-01-19,1841,817,1024
2020-01-20,13351,4250,9101
2020-01-21,61585,12100,49485
2020-01-22,119548,14552,104996
2020-01-23,164319,14712,149607
2020-01-24,88212,7737,80475
2020-01-25,105623,8358,97265
2020-01-26,108452,9652,98800
2020-01-27,91889,9490,82399
2020-01-28,82686,9959,72727
2020-01-29,71946,9130,62816
2020-01-30,68624,9079,59545
2020-01-31,71808,10635,61173
2020-02-01,66347,9938,56409
2020-02-02,65201,10178,55023
2020-02-03,64890,11951,52939
2020-02-04,60348,10971,49377
2020-02-05,61564,11318,50246
2020-02-06,64314,12016,52298
2020-02-07,62262,11313,50949
2020-02-08,59433,9463,49970
2020-02-09,54765,8953,45812
2020-02-10,56630,12402,44228
2020-02-11,50848,10651,40197
2020-02-12,47700,9687,38013
2020-02-13,48382,9512,38870
2020-02-14,46915,8849,38066
2020-02-15,39551,6686,32865
2020-02-16,35720,5649,30071
2020-02-17,39253,8689,30564
2020-02-18,37317,8226,29091
2020-02-19,37287,7788,29499
2020-02-20,36656,7280,29376
2020-02-21,37567,7377,30190
2020-02-22,34289,5322,28967
2020-02-23,34089,4783,29306
2020-02-24,37952,7845,30107
2020-02-25,40536,8271,32265
2020-02-26,42308,8684,33624
2020-02-27,39185,8193,30992
2020-02-28,39005,8318,30687
2020-02-29,35285,5687,29598
2020-03-01,30548,4741,25807
2020-03-02,33733,8557,25176
2020-03-03,29471,5763,23708
2020-03-04,28706,6948,21758
2020-03-05,27329,6350,20979
2020-03-06,25062,6124,18938
2020-03-07,21214,3846,17368
2020-03-08,19116,3101,16015
2020-03-09,23400,6244,17156
2020-03-10,23791,6378,17413
2020-03-11,21596,5406,16190
2020-03-12,20653,5200,15453
2020-03-13,20212,5162,15050
2020-03-14,17190,3039,14151
2020-03-15,15904,2505,13399
2020-03-16,19210,5480,13730
2020-03-17,19090,5655,13435
2020-03-18,18491,5644,12847
2020-03-19,16023,4028,11995
2020-03-20,15367,4418,10949
2020-03-21,12568,1989,10579
2020-03-22,11453,806,10647
2020-03-23,14522,4104,10418
2020-03-24,12491,2523,9968
2020-03-25,13974,3993,9981
2020-03-26,13824,3478,10346
2020-03-27,13191,3210,9981
2020-03-28,11783,1659,10124
2020-03-29,13098,2083,11015
2020-03-30,15833,4637,11196
2020-03-31,14197,3631,10566
2020-04-01,13953,3534,10419
